# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "genomic.gtf" "-o" "SRR30615974_counts.txt" "SRR30615974_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR30615974_sorted.bam
BSU_rRNA_27	NC_000964.3	173214	176141	+	2928	275
BSU_rRNA_28	NC_000964.3	176197	176315	+	119	320
BSU_tRNA_75	NC_000964.3	194205	194279	+	75	91
BSU_tRNA_78	NC_000964.3	194283	194358	+	76	0
BSU_tRNA_76	NC_000964.3	194363	194435	+	73	1
BSU_tRNA_77	NC_000964.3	194458	194542	+	85	2
BSU_tRNA_74	NC_000964.3	194547	194621	+	75	123
BSU_misc_RNA_5	NC_000964.3	200017	200187	+	171	982
BSU_misc_RNA_6	NC_000964.3	276815	277062	+	248	1370
BSU_misc_RNA_64	NC_000964.3	474329	474597	-	269	929
BSU_misc_RNA_7	NC_000964.3	486092	486235	+	144	847
BSU_tRNA_45	NC_000964.3	528704	528778	+	75	150
BSU_tRNA_46	NC_000964.3	528783	528873	+	91	1
BSU_tRNA_47	NC_000964.3	528903	528974	+	72	0
BSU_tRNA_48	NC_000964.3	528986	529060	+	75	0
BSU_tRNA_49	NC_000964.3	529087	529162	+	76	0
BSU_tRNA_50	NC_000964.3	529174	529255	+	82	2
BSU_tRNA_51	NC_000964.3	529336	529422	+	87	313
BSU_misc_RNA_65	NC_000964.3	532583	532642	-	60	641
BSU_misc_RNA_66	NC_000964.3	559532	559610	-	79	548
BSU_misc_RNA_8	NC_000964.3	626346	626446	-	101	408
BSU_tRNA_79	NC_000964.3	635110	635186	+	77	138
BSU_tRNA_80	NC_000964.3	635200	635273	+	74	21
BSU_rRNA_30	NC_000964.3	635433	636987	+	1555	2395
BSU_rRNA_12	NC_000964.3	637155	640082	+	2928	423
BSU_rRNA_13	NC_000964.3	640138	640254	+	117	1
BSU_tRNA_21	NC_000964.3	640268	640344	+	77	2
BSU_tRNA_22	NC_000964.3	640405	640481	+	77	306
BSU_misc_RNA_9	NC_000964.3	694425	694527	+	103	599
BSU_misc_RNA_10	NC_000964.3	698369	698471	+	103	776
BSU_rRNA_22	NC_000964.3	946696	948250	+	1555	711
BSU_rRNA_17	NC_000964.3	948418	951345	+	2928	837
BSU_rRNA_18	NC_000964.3	951457	951572	+	116	25
BSU_tRNA_29	NC_000964.3	951582	951656	+	75	0
BSU_tRNA_30	NC_000964.3	951662	951753	+	92	0
BSU_tRNA_31	NC_000964.3	951788	951859	+	72	0
BSU_tRNA_32	NC_000964.3	951869	951944	+	76	0
BSU_tRNA_33	NC_000964.3	951954	952030	+	77	0
BSU_tRNA_34	NC_000964.3	952042	952118	+	77	0
BSU_tRNA_35	NC_000964.3	952131	952206	+	76	0
BSU_tRNA_36	NC_000964.3	952212	952284	+	73	1
BSU_tRNA_37	NC_000964.3	952307	952391	+	85	1
BSU_tRNA_38	NC_000964.3	952397	952470	+	74	0
BSU_tRNA_39	NC_000964.3	952495	952570	+	76	0
BSU_tRNA_40	NC_000964.3	952580	952651	+	72	0
BSU_tRNA_41	NC_000964.3	952701	952775	+	75	0
BSU_tRNA_42	NC_000964.3	952781	952851	+	71	0
BSU_tRNA_43	NC_000964.3	952859	952947	+	89	101
BSU_tRNA_44	NC_000964.3	953213	953294	+	82	451
BSU_misc_RNA_11	NC_000964.3	955655	955762	+	108	612
BSU_tRNA_82	NC_000964.3	967065	967138	+	74	528
BSU_misc_RNA_12	NC_000964.3	1180685	1180802	-	118	702
BSU_misc_RNA_13	NC_000964.3	1219164	1219378	-	215	777
BSU_misc_RNA_67	NC_000964.3	1233405	1233543	+	139	711
BSU_misc_RNA_14	NC_000964.3	1242262	1242370	+	109	716
BSU_misc_RNA_15	NC_000964.3	1258304	1258424	+	121	595
BSU_tRNA_83	NC_000964.3	1262789	1262861	+	73	491
BSU_misc_RNA_16	NC_000964.3	1376328	1376439	+	112	611
BSU_misc_RNA_17	NC_000964.3	1378233	1378443	+	211	703
BSU_misc_RNA_18	NC_000964.3	1385736	1385891	-	156	626
BSU_misc_RNA_19	NC_000964.3	1391739	1391851	-	113	638
BSU_misc_RNA_68	NC_000964.3	1395622	1395775	+	154	745
BSU_misc_RNA_87	NC_000964.3	1410633	1410766	+	134	532
BSU_misc_RNA_20	NC_000964.3	1424527	1424683	-	157	580
BSU_misc_RNA_21	NC_000964.3	1426876	1426976	+	101	538
BSU_misc_RNA_22	NC_000964.3	1439274	1439318	+	45	447
BSU_misc_RNA_88	NC_000964.3	1457005	1457156	+	152	689
BSU_misc_RNA_69	NC_000964.3	1483557	1483640	+	84	461
BSU_misc_RNA_70	NC_000964.3	1534070	1534280	+	211	409
BSU_misc_RNA_23	NC_000964.3	1569199	1569319	+	121	542
BSU_misc_RNA_24	NC_000964.3	1607367	1607468	+	102	498
BSU_misc_RNA_25	NC_000964.3	1613078	1613304	+	227	799
BSU_misc_RNA_26	NC_000964.3	1618161	1618277	+	117	609
BSU_misc_RNA_27	NC_000964.3	1618853	1618970	+	118	685
BSU_misc_RNA_28	NC_000964.3	1620331	1620445	+	115	592
BSU_misc_RNA_29	NC_000964.3	1630115	1630220	+	106	445
BSU_misc_RNA_30	NC_000964.3	1675981	1676022	+	42	529
BSU_misc_RNA_71	NC_000964.3	1731457	1731674	+	218	713
BSU_misc_RNA_89	NC_000964.3	1780404	1780554	-	151	562
BSU_misc_RNA_72	NC_000964.3	1914992	1915272	-	281	722
BSU_misc_RNA_73	NC_000964.3	1917501	1917580	+	80	453
BSU_tRNA_85	NC_000964.3	2003276	2003348	-	73	414
BSU_misc_RNA_31	NC_000964.3	2025160	2025251	-	92	492
BSU_misc_RNA_74	NC_000964.3	2069732	2070115	-	384	792
BSU_misc_RNA_75	NC_000964.3	2079096	2079203	+	108	613
BSU_misc_RNA_32	NC_000964.3	2095909	2096111	-	203	560
BSU_misc_RNA_76	NC_000964.3	2160390	2161194	-	805	1477
BSU_misc_RNA_33	NC_000964.3	2164643	2164894	-	252	898
BSU_ncRNA_1	NC_000964.3	2208590	2208880	-	291	617
BSU_misc_RNA_90	NC_000964.3	2219743	2219849	+	107	580
BSU_misc_RNA_77	NC_000964.3	2273705	2273884	-	180	527
BSU_misc_RNA_34	NC_000964.3	2320113	2320213	-	101	391
BSU_misc_RNA_35	NC_000964.3	2331320	2331720	-	401	1093
BSU_misc_RNA_78	NC_000964.3	2410581	2410888	-	308	666
BSU_misc_RNA_36	NC_000964.3	2431473	2431617	-	145	492
BSU_misc_RNA_91	NC_000964.3	2472880	2473125	+	246	853
BSU_misc_RNA_37	NC_000964.3	2549407	2549606	-	200	762
BSU_tRNA_73	NC_000964.3	2563889	2563959	+	71	505
BSU_misc_RNA_39	NC_000964.3	2608732	2608906	-	175	638
BSU_misc_RNA_79	NC_000964.3	2625952	2626042	+	91	515
BSU_misc_RNA_80	NC_000964.3	2647405	2647663	-	259	577
BSU_misc_RNA_81	NC_000964.3	2678343	2678565	-	223	562
BSU_misc_RNA_92	NC_000964.3	2678876	2679014	-	139	446
BSU_misc_RNA_82	NC_000964.3	2773783	2773883	+	101	569
BSU_misc_RNA_40	NC_000964.3	2800890	2801097	-	208	925
BSU_misc_RNA_41	NC_000964.3	2814491	2814691	-	201	738
BSU_misc_RNA_42	NC_000964.3	2817899	2818131	-	233	792
BSU_misc_RNA_43	NC_000964.3	2855840	2855915	-	76	563
BSU_misc_RNA_44	NC_000964.3	2869366	2869588	-	223	802
BSU_misc_RNA_45	NC_000964.3	2897094	2897340	-	247	834
BSU_tRNA_84	NC_000964.3	2899816	2899889	-	74	449
BSU_misc_RNA_46	NC_000964.3	2910872	2911051	-	180	699
BSU_misc_RNA_47	NC_000964.3	2953411	2953550	-	140	618
BSU_misc_RNA_48	NC_000964.3	2961232	2961479	-	248	970
BSU_misc_RNA_93	NC_000964.3	3035589	3035721	+	133	563
BSU_misc_RNA_83	NC_000964.3	3037895	3038168	-	274	917
BSU_misc_RNA_49	NC_000964.3	3105153	3105367	-	215	864
BSU_misc_RNA_50	NC_000964.3	3129195	3129333	-	139	725
BSU_tRNA_72	NC_000964.3	3171879	3171950	-	72	121
BSU_tRNA_71	NC_000964.3	3171976	3172066	-	91	0
BSU_tRNA_70	NC_000964.3	3172070	3172144	-	75	0
BSU_tRNA_69	NC_000964.3	3172155	3172231	-	77	0
BSU_tRNA_68	NC_000964.3	3172247	3172320	-	74	0
BSU_tRNA_67	NC_000964.3	3172331	3172406	-	76	0
BSU_tRNA_66	NC_000964.3	3172424	3172499	-	76	0
BSU_tRNA_65	NC_000964.3	3172512	3172588	-	77	0
BSU_tRNA_64	NC_000964.3	3172600	3172676	-	77	0
BSU_tRNA_63	NC_000964.3	3172694	3172786	-	93	1
BSU_tRNA_62	NC_000964.3	3172793	3172869	-	77	0
BSU_tRNA_61	NC_000964.3	3172872	3172948	-	77	0
BSU_tRNA_60	NC_000964.3	3172968	3173040	-	73	0
BSU_tRNA_59	NC_000964.3	3173046	3173122	-	77	1
BSU_tRNA_58	NC_000964.3	3173138	3173214	-	77	0
BSU_tRNA_57	NC_000964.3	3173224	3173309	-	86	0
BSU_tRNA_56	NC_000964.3	3173324	3173398	-	75	2
BSU_tRNA_55	NC_000964.3	3173404	3173490	-	87	0
BSU_tRNA_54	NC_000964.3	3173501	3173576	-	76	0
BSU_tRNA_53	NC_000964.3	3173614	3173689	-	76	0
BSU_tRNA_52	NC_000964.3	3173722	3173797	-	76	0
BSU_rRNA_21	NC_000964.3	3173818	3173935	-	118	4
BSU_rRNA_20	NC_000964.3	3173991	3176918	-	2928	16209
BSU_rRNA_19	NC_000964.3	3177086	3178640	-	1555	8089
BSU_misc_RNA_51	NC_000964.3	3179105	3179206	+	102	674
BSU_misc_RNA_52	NC_000964.3	3188173	3188341	+	169	714
BSU_tRNA_86	NC_000964.3	3194455	3194527	-	73	537
BSU_ncRNA_2	NC_000964.3	3335414	3335545	-	132	697
BSU_misc_RNA_84	NC_000964.3	3360937	3361184	-	248	927
BSU_misc_RNA_53	NC_000964.3	3364397	3364503	-	107	465
BSU_misc_RNA_85	NC_000964.3	3404546	3404676	-	131	753
BSU_misc_RNA_54	NC_000964.3	3421169	3421348	-	180	995
BSU_misc_RNA_55	NC_000964.3	3450712	3451071	-	360	1386
BSU_misc_RNA_56	NC_000964.3	3491322	3491557	-	236	999
BSU_tRNA_81	NC_000964.3	3545889	3545964	-	76	711
BSU_misc_RNA_57	NC_000964.3	3856226	3856447	-	222	565
BSU_misc_RNA_58	NC_000964.3	3856479	3856700	-	222	664
BSU_misc_RNA_59	NC_000964.3	3946910	3947116	+	207	1320
BSU_misc_RNA_60	NC_000964.3	3988840	3988942	-	103	667
BSU_misc_RNA_61	NC_000964.3	3997775	3997881	+	107	848
BSU_misc_RNA_62	NC_000964.3	3999166	3999272	+	107	841
BSU_misc_RNA_63	NC_000964.3	4005523	4005625	+	103	655
BSU_misc_RNA_86	NC_000964.3	4096997	4097409	+	413	1278
BSU_tRNA_1	NC_000964.3	4154787	4154859	-	73	188
BSU_tRNA_2	NC_000964.3	4154895	4154971	-	77	7
BSU_tRNA_3	NC_000964.3	4155053	4155124	-	72	0
BSU_tRNA_4	NC_000964.3	4155134	4155209	-	76	142
BSU_misc_RNA_94	NC_000964.3	4169802	4169919	-	118	831
